	Country	City	Latitude	Longitude	Temperature	Humidity	Cloudiness	Wind Speed
44171	us	lakeville	44.65	-93.24	28.81	92	1	4.7
27584	ph	bulod	9.68	123.15	80.6	88	40	6.93
17575	in	dhenkanal	20.67	85.6	73.4	94	75	4.38
32724	ro	comlosu mare	45.89	20.63	32	84	90	1.12
21149	it	zogno	45.8	9.67	40.03	93	75	5.82
39384	sd	umm durman	15.64	32.44	84.2	16	0	3.36
46092	us	caledonia	42.81	-87.92	28.11	74	75	17.22
11478	fr	castelnau-le-lez	43.63	3.9	41.58	33	0	19.46
41799	ua	turbiv	49.35	28.72	21.27	85	76	13.67
33404	ro	lipova	46.72	27.23	26.6	86	90	2.59
24807	mx	tuxtla	18.45	-95.22	73.02	100	88	6.73
34636	ro	valea mare	44.78	25.23	19.29	78	64	2.71
33556	ro	micasasa	46.08	24.12	30.2	86	90	3.36
22087	kh	lumphat	13.5	106.98	78.78	78	56	4.72
31391	pl	ustrzyki dolne	49.43	22.58	16.32	86	20	3.6
42917	us	mims	28.66	-80.84	68.72	100	1	12.75
32583	ro	cateasca	44.77	25.08	19.29	78	64	2.71
41850	ua	vladyslavivka	45.17	35.38	40.08	100	0	17.69
37488	ru	orel-izumrud	43.46	39.92	53.6	81	90	4.47
42975	us	richmond heights	25.63	-80.37	78.51	69	1	9.17
43376	us	south elgin	41.99	-88.29	31.17	63	1	13.87
30261	ph	sulangan	10.94	125.83	82.11	100	88	13
36124	ru	kaluga	54.53	36.28	14.88	81	88	3.04
36792	ru	lermontovka	47.15	134.34	31.17	66	0	9.98
37695	ru	pogranichnyy	44.41	131.38	36.66	28	0	3.38
27607	ph	burgos	16.07	121.05	76.89	77	24	2.48
36815	ru	levikha	57.58	59.9	7.95	80	0	6.17
15780	hu	medgyesegyhaza	46.5	21.03	26.67	90	68	9.75
40876	tz	gairo	-6.15	36.87	63.57	99	56	2.71
8030	cz	klecany	50.18	14.41	28.4	92	90	11.41
27875	ph	catayauan	18.16	121.65	74.55	94	36	4.16
1197	ba	sarajevo	43.85	18.38	26.6	100	90	8.05
30831	pk	khalabat	34.06	72.89	59	72	75	3.15
36888	ru	lysva	58.11	57.81	4.71	76	8	9.64
23888	mx	huiloapan	18.75	-97.32	57.09	98	44	2.04
41679	ua	ruzhyn	49.72	29.2	19.47	88	88	11.77
40110	th	bang saphan	11.21	99.51	78.8	94	20	4.7
31349	pl	strzelce krajenskie	52.88	15.53	21.09	85	0	2.93
44906	us	hendersonville	35.32	-82.46	53.42	66	1	11.41
27026	ph	amdus	9.88	123.1	80.6	88	40	6.93
11691	fr	jouy-le-moutier	49.01	2.04	33.12	90	40	6.93
4560	ca	crystal beach	45.05	-79.4	28.4	36	1	6.93
37089	ru	moskovskiy	55.6	37.35	25.99	58	0	2.82
21264	jp	fujimi	35.87	139.56	36.01	100	90	10.29
540	ar	san vicente	-34.98	-58.38	61.56	55	0	10.29
31700	pt	oliveira de azemeis	40.84	-8.48	42.8	60	0	9.17
28284	ph	himaya	10.45	122.83	82.74	77	20	3.27
46606	za	hermanus	-34.42	19.23	57.36	99	88	2.93
23584	mx	chilchota	19.85	-102.13	78.8	29	5	2.59
7314	co	san juan de arama	3.35	-73.89	68.97	83	36	2.04
23525	mx	cardonal	20.62	-99.12	52.86	92	12	3.27
35330	ru	belaya glina	46.08	40.87	44.94	90	24	24.99
16330	id	kefamenanu	-9.45	124.48	79.59	71	76	2.15
24489	mx	santa cruz del valle	20.53	-103.43	80.6	13	5	9.17
44415	us	conway	43.98	-71.12	25.7	68	1	2.26
4364	bw	tamasane	-22.32	27.37	70.68	71	0	9.75
